1,Palmeiras - SP,80,38,23,11,4,64,26,38,117,5,70,V V V
2,Flamengo - RJ,72,38,21,9,8,59,29,30,83,10,63,V V D
3,Internacional - RS,69,38,19,12,7,51,29,22,96,6,60,D V E
4,Grêmio - RS,66,38,18,12,8,48,27,21,83,1,57,D E V
5,São Paulo - SP,63,38,16,15,7,46,34,12,98,6,55,D E D
6,Atlético - MG,59,38,17,8,13,56,43,13,90,3,51,V D V
7,Athletico Paranaense - PR,57,38,16,9,13,54,37,17,88,5,50,V E V
8,Cruzeiro - MG,53,38,14,11,13,34,34,0,99,2,46,V D E
9,Botafogo - RJ,51,38,13,12,13,38,46,-8,90,5,44,E V D
10,Santos - SP,50,38,13,11,14,46,40,6,88,3,43,E V D
11,Bahia - BA,48,38,12,12,14,39,41,-2,85,4,42,V D E
12,Fluminense - RJ,45,38,12,9,17,32,46,-14,87,5,39,D D V
13,Corinthians - SP,44,38,11,11,16,34,35,-1,77,3,38,D E D
14,Chapecoense - SC,44,38,11,11,16,34,50,-16,74,3,38,V E V
15,Ceará - CE,44,38,10,14,14,32,38,-6,91,3,38,V E E
16,Vasco da Gama - RJ,43,38,10,13,15,41,48,-7,101,9,37,V D E
17,America Fc - MG,40,38,10,10,18,30,47,-17,84,8,35,D V D
18,Sport - PE,39,38,11,9,18,35,57,-22,78,4,34,D E V
19,Vitória - BA,37,38,9,10,19,36,63,-27,108,7,32,D E D
20,Paraná - PR,23,38,4,11,23,18,57,-39,98,9,20,D D E
